Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x11,,,,,SKU123,0.0,,0,deny,manual,2.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x12,,,,,SKU123,0.0,,0,deny,manual,2.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x13,,,,,SKU123,0.0,,0,deny,manual,2.30,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x14,,,,,SKU123,0.0,,0,deny,manual,2.30,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x15,,,,,SKU123,0.0,,0,deny,manual,2.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x16,,,,,SKU123,0.0,,0,deny,manual,2.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x17,,,,,SKU123,0.0,,0,deny,manual,2.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x18,,,,,SKU123,0.0,,0,deny,manual,2.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x19,,,,,SKU123,0.0,,0,deny,manual,2.60,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x20,,,,,SKU123,0.0,,0,deny,manual,2.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x1,,,,,SKU123,0.0,,0,deny,manual,1.60,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x2,,,,,SKU123,0.0,,0,deny,manual,1.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x3,,,,,SKU123,0.0,,0,deny,manual,1.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x4,,,,,SKU123,0.0,,0,deny,manual,2.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x5,,,,,SKU123,0.0,,0,deny,manual,2.10,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x6,,,,,SKU123,0.0,,0,deny,manual,2.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x7,,,,,SKU123,0.0,,0,deny,manual,2.30,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x8,,,,,SKU123,0.0,,0,deny,manual,2.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x9,,,,,SKU123,0.0,,0,deny,manual,2.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x10,,,,,SKU123,0.0,,0,deny,manual,2.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x11,,,,,SKU123,0.0,,0,deny,manual,2.80,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x12,,,,,SKU123,0.0,,0,deny,manual,2.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x13,,,,,SKU123,0.0,,0,deny,manual,3.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x14,,,,,SKU123,0.0,,0,deny,manual,3.10,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x15,,,,,SKU123,0.0,,0,deny,manual,3.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x16,,,,,SKU123,0.0,,0,deny,manual,3.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x17,,,,,SKU123,0.0,,0,deny,manual,3.30,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x18,,,,,SKU123,0.0,,0,deny,manual,3.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x19,,,,,SKU123,0.0,,0,deny,manual,3.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,2x20,,,,,SKU123,0.0,,0,deny,manual,3.60,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x1,,,,,SKU123,0.0,,0,deny,manual,1.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x2,,,,,SKU123,0.0,,0,deny,manual,1.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x3,,,,,SKU123,0.0,,0,deny,manual,2.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x4,,,,,SKU123,0.0,,0,deny,manual,2.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x5,,,,,SKU123,0.0,,0,deny,manual,2.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x6,,,,,SKU123,0.0,,0,deny,manual,2.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x7,,,,,SKU123,0.0,,0,deny,manual,2.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x8,,,,,SKU123,0.0,,0,deny,manual,2.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x9,,,,,SKU123,0.0,,0,deny,manual,3.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x10,,,,,SKU123,0.0,,0,deny,manual,3.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x11,,,,,SKU123,0.0,,0,deny,manual,3.30,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x12,,,,,SKU123,0.0,,0,deny,manual,3.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x13,,,,,SKU123,0.0,,0,deny,manual,3.60,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x14,,,,,SKU123,0.0,,0,deny,manual,3.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x15,,,,,SKU123,0.0,,0,deny,manual,3.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x16,,,,,SKU123,0.0,,0,deny,manual,4.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x17,,,,,SKU123,0.0,,0,deny,manual,4.10,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x18,,,,,SKU123,0.0,,0,deny,manual,4.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x19,,,,,SKU123,0.0,,0,deny,manual,4.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,3x20,,,,,SKU123,0.0,,0,deny,manual,4.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x1,,,,,SKU123,0.0,,0,deny,manual,1.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x2,,,,,SKU123,0.0,,0,deny,manual,2.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x3,,,,,SKU123,0.0,,0,deny,manual,2.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x4,,,,,SKU123,0.0,,0,deny,manual,2.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x5,,,,,SKU123,0.0,,0,deny,manual,2.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x6,,,,,SKU123,0.0,,0,deny,manual,2.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x7,,,,,SKU123,0.0,,0,deny,manual,3.10,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x8,,,,,SKU123,0.0,,0,deny,manual,3.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x9,,,,,SKU123,0.0,,0,deny,manual,3.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x10,,,,,SKU123,0.0,,0,deny,manual,3.60,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x11,,,,,SKU123,0.0,,0,deny,manual,3.80,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x12,,,,,SKU123,0.0,,0,deny,manual,4.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x13,,,,,SKU123,0.0,,0,deny,manual,4.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x14,,,,,SKU123,0.0,,0,deny,manual,4.30,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x15,,,,,SKU123,0.0,,0,deny,manual,4.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x16,,,,,SKU123,0.0,,0,deny,manual,4.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x17,,,,,SKU123,0.0,,0,deny,manual,4.80,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x18,,,,,SKU123,0.0,,0,deny,manual,5.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x19,,,,,SKU123,0.0,,0,deny,manual,5.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,4x20,,,,,SKU123,0.0,,0,deny,manual,5.30,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x1,,,,,SKU123,0.0,,0,deny,manual,1.80,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x2,,,,,SKU123,0.0,,0,deny,manual,2.10,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x3,,,,,SKU123,0.0,,0,deny,manual,2.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x4,,,,,SKU123,0.0,,0,deny,manual,2.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x5,,,,,SKU123,0.0,,0,deny,manual,2.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x6,,,,,SKU123,0.0,,0,deny,manual,3.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x7,,,,,SKU123,0.0,,0,deny,manual,3.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x8,,,,,SKU123,0.0,,0,deny,manual,3.60,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x9,,,,,SKU123,0.0,,0,deny,manual,3.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x10,,,,,SKU123,0.0,,0,deny,manual,4.10,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x11,,,,,SKU123,0.0,,0,deny,manual,4.30,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x12,,,,,SKU123,0.0,,0,deny,manual,4.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x13,,,,,SKU123,0.0,,0,deny,manual,4.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x14,,,,,SKU123,0.0,,0,deny,manual,4.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x15,,,,,SKU123,0.0,,0,deny,manual,5.10,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x16,,,,,SKU123,0.0,,0,deny,manual,5.30,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x17,,,,,SKU123,0.0,,0,deny,manual,5.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x18,,,,,SKU123,0.0,,0,deny,manual,5.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x19,,,,,SKU123,0.0,,0,deny,manual,5.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,5x20,,,,,SKU123,0.0,,0,deny,manual,6.10,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,Custom Die-Cut Stickers,,StickerShuttle,,config,custom-config,true,Size,6x1,,,,,SKU123,0.0,,0,deny,manual,1.90,,true,true,,https://cdn.shopify.com/s/files/1/0585/0546/1898/products/DieCut.png?v=1650732284,1,custom die-cut stickers,false,,,,,,,,,,,,,,,,,lb,,0.10,active
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x2,,,,,SKU123,0.0,,0,deny,manual,2.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x3,,,,,SKU123,0.0,,0,deny,manual,2.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x4,,,,,SKU123,0.0,,0,deny,manual,2.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x5,,,,,SKU123,0.0,,0,deny,manual,3.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x6,,,,,SKU123,0.0,,0,deny,manual,3.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x7,,,,,SKU123,0.0,,0,deny,manual,3.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x8,,,,,SKU123,0.0,,0,deny,manual,4.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x9,,,,,SKU123,0.0,,0,deny,manual,4.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x10,,,,,SKU123,0.0,,0,deny,manual,4.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x11,,,,,SKU123,0.0,,0,deny,manual,4.80,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x12,,,,,SKU123,0.0,,0,deny,manual,5.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x13,,,,,SKU123,0.0,,0,deny,manual,5.30,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x14,,,,,SKU123,0.0,,0,deny,manual,5.50,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x15,,,,,SKU123,0.0,,0,deny,manual,5.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x16,,,,,SKU123,0.0,,0,deny,manual,6.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x17,,,,,SKU123,0.0,,0,deny,manual,6.20,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x18,,,,,SKU123,0.0,,0,deny,manual,6.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x19,,,,,SKU123,0.0,,0,deny,manual,6.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,6x20,,,,,SKU123,0.0,,0,deny,manual,6.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,7x1,,,,,SKU123,0.0,,0,deny,manual,1.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,7x2,,,,,SKU123,0.0,,0,deny,manual,2.30,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,7x3,,,,,SKU123,0.0,,0,deny,manual,2.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,7x4,,,,,SKU123,0.0,,0,deny,manual,3.10,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,7x5,,,,,SKU123,0.0,,0,deny,manual,3.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,7x6,,,,,SKU123,0.0,,0,deny,manual,3.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,7x7,,,,,SKU123,0.0,,0,deny,manual,4.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,7x8,,,,,SKU123,0.0,,0,deny,manual,4.30,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-6x1-10x20,,,StickerShuttle,,,,,,7x9,,,,,SKU123,0.0,,0,deny,manual,4.60,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
